Day Number,L0,L1,L2,L3,L4,L5,L6
60,"[0.9950102322418688, 1.0]","[0.00047877099026006763, 0.9257048525737168]","[0.0005109967678709193, 0.8015189964649876]","[0.0, nan]","[0, nan]","[0, nan]","[0, 0.0]"
65,"[0.9949081648297007, 1.0]","[0.0004891374699328405, 0.9257059904980461]","[0.0005219941691227632, 0.8015204311175732]","[8.070353124356799e-05, 0.729]","[0, nan]","[0, nan]","[0, 0.0]"
70,"[0.9948038802175373, 1.0]","[0.0004997400886497925, 0.9257071285988391]","[0.0005332407043758467, 0.8015218659971605]","[0.00016313898943690487, 0.7196249614083339]","[0, nan]","[0, nan]","[0, 0.0]"
75,"[0.9946973277497246, 1.0]","[0.0005105844679014507, 0.9257082668754161]","[0.0005447422743221226, 0.8015233011028662]","[0.00024734550805167733, 0.7104778701922801]","[0, nan]","[0, nan]","[0, 0.0]"
80,"[0.9945884555613992, 1.0]","[0.0005216763683489827, 0.9257094053270996]","[0.0005565049250413994, 0.8015247364338116]","[0.00033336314521030807, 0.7015531192530273]","[0, nan]","[0, nan]","[0, 0.0]"
85,"[0.9944772105484754, 1.0]","[0.0005330216933936018, 0.9257105439532162]","[0.0005685348517134905, 0.8015261719891223]","[0.00042123290641749646, 0.6928452435933717]","[0, nan]","[0, nan]","[0, 0.0]"
90,"[0.9943635383368602, 1.0]","[0.0005446264928405382, 0.9257116827530959]","[0.0005808384024282525, 0.8015276077679284]","[0.0005109967678709193, 0.6843489165196389]","[0, nan]","[0, nan]","[0, 0.0]"
95,"[0.9942473832508771, 1.0]","[0.0005564969666601387, 0.9257128217260714]","[0.0005934220820962129, 0.801529043769364]","[0.0006026977003663311, 0.6760589461556886]","[0.0, nan]","[0, nan]","[0, 0.0]"
100,"[0.9941286882808759, 1.0]","[0.0005686394688487377, 0.9257139608714788]","[0.000606292556462499, 0.8015304799925672]","[0.0006156761625691836, 0.6760606045169154]","[8.070353124356799e-05, 0.6062502348]","[0, nan]","[0, 0.0]"
105,"[0.994007395050007, 1.0]","[0.0005810605113920504, 0.9257151001886575]","[0.0006194566562268902, 0.8015319164366809]","[0.0006289487929368951, 0.6760622631393698]","[0.00016313898943690487, 0.5984537748245036]","[0, nan]","[0, 0.0]"
110,"[0.9938834437801413, 1.0]","[0.0005937667683338806, 0.9257162396769505]","[0.0006329213812728814, 0.8015333531008519]","[0.0006425225622000301, 0.6760639220220318]","[0.00024734550805167733, 0.5908468801626604]","[0, nan]","[0, 0.0]"
115,"[0.993756773256907, 1.0]","[0.0006067650799530187, 0.9257173793357037]","[0.0006466939050087231, 0.801534789984231]","[0.0006564046129206789, 0.676065581163887]","[0.00033336314521030807, 0.5834248879285813]","[0, nan]","[0, 0.0]"
120,"[0.9936273207938258, 1.0]","[0.0006200624570512989, 0.925718519164266]","[0.000660781578823511, 0.8015362270859744]","[0.0006706022638816754, 0.6760672405639258]","[0.00042123290641749646, 0.5761832532818201]","[0, nan]","[0, 0.0]"
125,"[0.9934950221955199, 1.0]","[0.0006336660853558751, 0.9257196591619896]","[0.0006751919366614443, 0.8015376644052404]","[0.0006851230145916247, 0.6760689002211435]","[0.0005109967678709193, 0.5691175464472176]","[0, nan]","[0, 0.0]"
130,"[0.9933598117199682, 1.0]","[0.0006475833300388212, 0.9257207993282297]","[0.00068993269971749, 0.8015391019411925]","[0.0006999745499089194, 0.6760705601345401]","[0.0006026977003663311, 0.5622234497588792]","[0, nan]","[0, 0.0]"
135,"[0.9932216220397839, 1.0]","[0.0006618217403573059, 0.9257219396623447]","[0.0007050117812577792, 0.8015405396929981]","[0.0007151647447879386, 0.6760722203031212]","[0.0006963796938127515, 0.5554967547414168]","[0.0, nan]","[0, 0.0]"
140,"[0.9930803842024893, 1.0]","[0.0006763890544176308, 0.9257230801636969]","[0.0007204372915681398, 0.8015419776598294]","[0.0007307016691507889, 0.6760738807258966]","[0.000711384251130232, 0.5554985416833109]","[8.070353124356799e-05, 0.4910626902]","[0, 0.0]"
145,"[0.9929360275897592, 1.0]","[0.0006912932040665547, 0.9257242208316502]","[0.0007362175430342717, 0.8015434158408613]","[0.0007465935928880025, 0.6760755414018811]","[0.0007267290808148026, 0.5555003289053192]","[0.00016313898943690487, 0.48474755761391153]","[0, 0.0]"
150,"[0.9927884798756065, 1.0]","[0.0007065423199133889, 0.9257253616655726]","[0.0007523610553571806, 0.8015448542352739]","[0.0007628489909916958, 0.6760772023300947]","[0.0007424222500793097, 0.5555021164063438]","[0.00024734550805167733, 0.47858597294171334]","[0, 0.0]"
155,"[0.9926376669834818, 1.0]","[0.0007221447364864923, 0.925726502664835]","[0.0007688765609075734, 0.8015462928422501]","[0.0007794765488248165, 0.6760788635095618]","[0.0007584720250888637, 0.5555039041852928]","[0.00033336314521030807, 0.47257415921347834]","[0, 0.0]"
160,"[0.9924835130422561, 1.0]","[0.0007381089975278181, 0.9257276438288109]","[0.0007857730102230347, 0.8015477316609778]","[0.0007964851675301965, 0.6760805249393115]","[0.0007748868760450476, 0.5555056922410789]","[0.00042123290641749646, 0.46670843514474986]","[0, 0.0]"
165,"[0.99232594034106, 1.0]","[0.0007544438614293885, 0.9257287851568772]","[0.00080305957765189, 0.8015491706906481]","[0.0008138839695832188, 0.6760821866183777]","[0.0007916754824043313, 0.5555074805726209]","[0.0005109967678709193, 0.4609852126108583]","[0, 0.0]"
170,"[0.9921648692829437, 1.0]","[0.0007711583068155515, 0.9257299266484145]","[0.0008207456671478077, 0.8015506099304566]","[0.0008316823044920385, 0.6760838485457992]","[0.000808846738234359, 0.5555092691788419]","[0.0006026977003663311, 0.45540099430152475]","[0, 0.0]"
175,"[0.9920002183373314, 1.0]","[0.0007882615382750764, 0.925731068302804]","[0.0008388409182192707, 0.8015520493796022]","[0.0008498897546493928, 0.6760855107206194]","[0.0008264097577118372, 0.5555110580586715]","[0.0006963796938127515, 0.4499523713393697]","[0, 0.0]"
180,"[0.9918319039912344, 1.0]","[0.0008057629922472245, 0.925732210119433]","[0.0008573552120381907, 0.8015534890372884]","[0.0008685161413401534, 0.6760871731418862]","[0.00084437388076591, 0.5555128472110435]","[0.0007920877823738, 0.4446360210373342]","[0, 0.0]"
185,"[0.99165984069919, 1.0]","[0.0008236723430660576, 0.9257333520976893]","[0.0008762986777120316, 0.8015549289027217]","[0.000887571530908879, 0.6760888358086518]","[0.0008627486788709753, 0.5555146366348975]","[0.0008898680702517075, 0.43944870465091684]","[0, 0.0]"
190,"[0.9914839408318926, 1.0]","[0.000841999509167338, 0.9257344942369645]","[0.0008956816987239726, 0.8015563689751128]","[0.0009070662410917869, 0.6760904987199738]","[0.0008815439609930014, 0.5555164263291781]","[0.000989767758130987, 0.43438726522896043]","[0.0, 0.0]"
195,"[0.991304114623481, 1.0]","[0.0008607546594625726, 0.9257356365366536]","[0.0009155149195457284, 0.8015578092536765]","[0.0009270108475176188, 0.6760921618749136]","[0.0009007697796935688, 0.555518216292835]","[0.0010111316390556038, 0.4343899181934871]","[8.070353124356799e-05, 0.0]"
200,"[0.9911202701174466, 1.0]","[0.0008799482198847715, 0.9257367789961535]","[0.0009358092524277923, 0.8015592497376305]","[0.0009474161903820671, 0.6760938252725378]","[0.0009204364373959253, 0.5555200065248229]","[0.0010329807930256393, 0.43439257156684846]","[0.00016313898943690487, 0.0]"
205,"[0.9909323131111237, 1.0]","[0.0008995908801107362, 0.9257379216148647]","[0.0009565758843720262, 0.8015606904261973]","[0.0009682933813005237, 0.6760954889119164]","[0.000940554492817478, 0.5555217970241019]","[0.0010553267422235733, 0.4343952253474173]","[0.00024734550805167733, 0.0]"
210,"[0.9907401470987253, 1.0]","[0.0009196936004647611, 0.9257390643921904]","[0.0009778262842915968, 0.8015621313186024]","[0.0009896538103440725, 0.6760971527921255]","[0.0009611347675732915, 0.5555235877896367]","[0.001078181293390382, 0.4343978795335742]","[0.00033336314521030807, 0.0]"
215,"[0.9905436732128838, 1.0]","[0.0009402676190087647, 0.9257402073275361]","[0.0009995722103634925, 0.8015635724140749]","[0.00101150915326373, 0.676098816912244]","[0.0009821883529552745, 0.5555253788203974]","[0.0011015565451070923, 0.4344005341237078]","[0.00042123290641749646, 0.0]"
220,"[0.990342790164657, 1.0]","[0.0009613244588240626, 0.9257413504203111]","[0.0010218257175789126, 0.8015650137118486]","[0.001033871378908186, 0.6761004812713565]","[0.0010037266168918518, 0.5555271701153588]","[0.0011254648952687906, 0.4344031891162144]","[0.0005109967678709193, 0.0]"
225,"[0.9901373941819566, 1.0]","[0.0009828759354901155, 0.9257424936699268]","[0.0010445991654970124, 0.8015664552111594]","[0.0010567527568403126, 0.6761021458685511]","[0.0010257612110930925, 0.5555289616735009]","[0.0011499190487563515, 0.43440584450949826]","[0.0006026977003663311, 0.0]"
230,"[0.9899273789463581, 1.0]","[0.0010049341647657003, 0.9257436370757972]","[0.0010679052262076861, 0.8015678969112483]","[0.0010801658651579693, 0.6761038107029207]","[0.001048304078386371, 0.5555307534938084]","[0.0011749320253112367, 0.43440850030197126]","[0.0006963796938127515, 0.0]"
235,"[0.9897126355282473, 1.0]","[0.0010275115704781771, 0.9257447806373401]","[0.0010917568925091334, 0.8015693388113588]","[0.0011041235985247422, 0.6761054757735625]","[0.0010713674602477958, 0.5555325455752711]","[0.0012005171676189405, 0.43441115649205303]","[0.0007920877823738, 0.0]"
240,"[0.9894930523202573, 1.0]","[0.0010506208926266448, 0.9257459243539745]","[0.0011161674863061997, 0.801570780910739]","[0.0011286391764163985, 0.6761071410795778]","[0.001094963904534783, 0.5555343379168833]","[0.001226688149606762, 0.4344138130781706]","[0.0008898680702517075, 0.0]"
245,"[0.9892685149689521, 1.0]","[0.001074275195704958, 0.9257470682251234]","[0.001141150667235637, 0.8015722232086394]","[0.0011537261515890318, 0.6761088066200726]","[0.0011191062734253255, 0.5555361305176447]","[0.0012534589849617418, 0.43441647005875933]","[0.000989767758130987, 0.0]"
250,"[0.9890389063047058, 1.0]","[0.0010984878772507187, 0.9257482122502124]","[0.0011667204415245554, 0.8015736657043151]","[0.001179398418775067, 0.6761104723941568]","[0.0011438077515696116, 0.5555379233765594]","[0.0012808440358748098, 0.4344191274322614]","[0.0010918351702991717, 0.0]"
255,"[0.9888041062697315, 1.0]","[0.0011232726766265966, 0.9257493564286693]","[0.0011928911710886148, 0.8015751083970243]","[0.0012056702236133523, 0.6761121384009444]","[0.0011690818544598843, 0.5555397164926363]","[0.0013088580220173194, 0.43442178519712676]","[0.001196119782462544, 0.0]"
260,"[0.9885639918442068, 1.0]","[0.0011486436840404347, 0.9257505007599248]","[0.0012196775828765744, 0.8015765512860284]","[0.0012325561718199269, 0.6761138046395543]","[0.001194942437024526, 0.5555415098648891]","[0.001337516029756311, 0.4344244433518126]","[0.0013026722502752506, 0.0]"
265,"[0.9883184369704465, 1.0]","[0.0011746153498108675, 0.9257516452434126]","[0.0012470947784680834, 0.8015779943705926]","[0.0012600712386060832, 0.6761154711091087]","[0.0012214037024525534, 0.5555433034923364]","[0.0013668335216150851, 0.434427101894784]","[0.00141154443860069, 0.0]"
270,"[0.988067312475067, 1.0]","[0.001201202493885253, 0.9257527898785679]","[0.0012751582439318304, 0.8015794376499857]","[0.001288230778350572, 0.6761171378087346]","[0.001248480211254919, 0.555545097374001]","[0.0013968263459857705, 0.43442976082451296]","[0.0015227894515245889, 0.0]"
275,"[0.9878104859890888, 1.0]","[0.0012284203156170915, 0.9257539346648304]","[0.0013038838599512114, 0.8015808811234798]","[0.001317050534533072, 0.676118804737563]","[0.0012761868905691144, 0.555546891508911]","[0.0014275107471008264, 0.43443242013947914]","[0.0016364616631397099, 0.0]"
280,"[0.9875478218659215, 1.0]","[0.001256284403810117, 0.9257550796016404]","[0.0013332879122250959, 0.8015823247903503]","[0.0013465466499361298, 0.6761204718947289]","[0.0013045390437138335, 0.5555486858960985]","[0.0014589033752705695, 0.4344350798381692]","[0.0017526167491226827, 0.0]"
285,"[0.9872791810971703, 1.0]","[0.0012848107470365964, 0.9257562246884425]","[0.001363387102151309, 0.8015837686498761]","[0.0013767356771230545, 0.6761221392793713]","[0.0013335523600006064, 0.5555504805346009]","[0.0014910212973940657, 0.4344377399190774]","[0.0018713117191239883, 0.0]"
290,"[0.987004421226209, 1.0]","[0.0013140157442375138, 0.925757369924683]","[0.0013941985578007738, 0.80158521270134]","[0.001407634589199489, 0.6761238068906338]","[0.0013632429248095067, 0.5555522754234594]","[0.0015238820077508528, 0.43444040038070475]","[0.0019926049499927405, 0.0]"
295,"[0.9867233962594544, 1.0]","[0.0013439162156125856, 0.9257585153098113]","[0.0014257398451904386, 0.8015866569440268]","[0.0014392607908664807, 0.6761254747276628]","[0.0013936272299362668, 0.5555540705617203]","[0.0015575034390812785, 0.4344430612215598]","[0.0021165562198584694, 0.0]"
300,"[0.9864359565752807, 1.0]","[0.0013745294138082312, 0.9257596608432787]","[0.0014580289798633449, 0.8015881013772259]","[0.001471632129773269, 0.6761271427896104]","[0.0014247221842183242, 0.5555558659484343]","[0.0015919039739633592, 0.43444572244015783]","[0.0022432267430927285, 0.0]"
305,"[0.9861419488305095, 1.0]","[0.0014058730354118937, 0.9257608065245394]","[0.001491084438784494, 0.8015895460002296]","[0.001504766908178084, 0.6761288110756313]","[0.0014565451244475218, 0.5555576615826564]","[0.001627102456494347, 0.4344483840350216]","[0.0023726792061739815, 0.0]"
310,"[0.9858412158644089, 1.0]","[0.0014379652327613623, 0.9257619523530504]","[0.0015249251725613089, 0.8015909908123333]","[0.0015386838949255886, 0.6761304795848848]","[0.0014891138265774443, 0.5555594574634465]","[0.001663118204285415, 0.4344510460046808]","[0.0025049778044798636, 0.0]"
315,"[0.9855335966001311, 1.0]","[0.0014708246260779507, 0.9257630983282703]","[0.0015595706179978527, 0.8015924358128361]","[0.0015734023377498084, 0.6761321483165341]","[0.0015224465172335648, 0.5555612535898685]","[0.001699971020778089, 0.4344537083476718]","[0.0026401882800315617, 0.0]"
320,"[0.9852189259435218, 1.0]","[0.0015044703159326734, 0.9257642444496617]","[0.0015950407109921567, 0.8015938810010401]","[0.0016089419759116482, 0.6761338172697464]","[0.001556561885534629, 0.5555630499609907]","[0.0017376812078913105, 0.43445637106253804]","[0.0027783779602157752, 0.0]"
325,"[0.9848970346792258, 1.0]","[0.0015389218960548093, 0.9257653907166884]","[0.0016313558997863228, 0.8015953263762512]","[0.0016453230531803449, 0.6761354864436927]","[0.0015914790952339288, 0.5555648465758865]","[0.001776269579008301, 0.43445903414783005]","[0.0029196157975103594, 0.0]"
330,"[0.984567749364017, 1.0]","[0.0015741994664925673, 0.9257665371288171]","[0.001668537158579296, 0.8015967719377775]","[0.0016825663311685305, 0.6761371558375474]","[0.0016272177971893953, 0.5555666434336326]","[0.0018157574723125637, 0.43446169760210523]","[0.0030639724102405363, 0.0]"
335,"[0.9842308922172732, 1.0]","[0.0016103236471357576, 0.9257676836855171]","[0.0017066060015125545, 0.8015982176849308]","[0.0017206931030307473, 0.6761388254504894]","[0.0016637981421716663, 0.5555684405333107]","[0.0018561667644827625, 0.43446436142392736]","[0.0032115201243932525, 0.0]"
340,"[0.9838862810085204, 1.0]","[0.0016473155916107132, 0.9257688303862599]","[0.0017455844970392072, 0.8015996636170262]","[0.0017597252075356859, 0.6761404952817012]","[0.0017012407940195224, 0.5555702378740067]","[0.0018975198847563579, 0.4344670256118675]","[0.003362333016518054, 0.0]"
345,"[0.9835337289419638, 1.0]","[0.0016851970015580556, 0.9257699772305196]","[0.0017854952826873163, 0.8016011097333818]","[0.0017996850435225654, 0.6761421653303691]","[0.001739566943152461, 0.5555720354548109]","[0.0019398398293722571, 0.43446969016450315]","[0.0035164869577435933, 0.0]"
350,"[0.9831730445379219, 1.0]","[0.0017239901413040979, 0.9257711242177732]","[0.0018263615802285465, 0.8016025560333193]","[0.0018405955847524958, 0.6761438355956834]","[0.0017787983204503011, 0.5555738332748177]","[0.001983150176402975, 0.4344723550804187]","[0.0036740596589397477, 0.0]"
355,"[0.9828040315110801, 1.0]","[0.001763717852937031, 0.9257722713474986]","[0.0018682072112636322, 0.8016040025161627]","[0.0018824803951658939, 0.6761455060768378]","[0.0018189572115101472, 0.5555756313331256]","[0.002027475100987128, 0.43447502035820496]","[0.0038351307170560876, 0.0]"
360,"[0.9824264886454738, 1.0]","[0.0018044035717994778, 0.9257734186191781]","[0.0019110566132364184, 0.8016054491812401]","[0.0019253636445573877, 0.67614717677303]","[0.0018600664712912192, 0.5555774296288378]","[0.0020728393909733864, 0.43447768599645964]","[0.003999781662668329, 0.0]"
365,"[0.9820402096661114, 1.0]","[0.0018460713424090897, 0.9257745660322948]","[0.001954934855888558, 0.8016068960278818]","[0.001969270124679957, 0.6761488476834613]","[0.0019021495391584368, 0.5555792281610612]","[0.0021192684629873105, 0.4344803519937868]","[0.004168096008765279, 0.0]"
370,"[0.9816449831071443, 1.0]","[0.0018887458348194849, 0.9257757135863348]","[0.001999867658167421, 0.8016083430554217]","[0.0020142252657903994, 0.6761505188073365]","[0.0019452304543359329, 0.5555810269289068]","[0.0021667883789328445, 0.43448301834879693]","[0.004340159300809651, 0.0]"
375,"[0.9812405921764878, 1.0]","[0.0019324523614339562, 0.9257768612807863]","[0.002045881405599971, 0.8016097902631969]","[0.0020602551536485726, 0.6761521901438645]","[0.0019893338717819394, 0.5555828259314901]","[0.0022154258629405953, 0.43448568506010726]","[0.004516059168107086, 0.0]"
380,"[0.9808268146167952, 1.0]","[0.0019772168942849256, 0.9257780091151402]","[0.002093003168145854, 0.8016112376505468]","[0.0021073865469831894, 0.6761538616922574]","[0.0020344850784969424, 0.5555846251679307]","[0.002265208318775274, 0.4344883521263415]","[0.00469588537651866, 0.0]"
385,"[0.9804034225626816, 1.0]","[0.0020230660827922405, 0.9257791570888892]","[0.002141260718543329, 0.8016126852168146]","[0.0021556468954373694, 0.6761555334517313]","[0.0020807100102772083, 0.5555864246373521]","[0.0023161638477152114, 0.4344910195461297]","[0.0048797298825531, 0.0]"
390,"[0.9799701823940973, 1.0]","[0.002070027272014212, 0.9257803052015293]","[0.0021906825511618902, 0.8016141329613464]","[0.0022050643580074835, 0.676157205421506]","[0.0021280352689262328, 0.5555882243388819]","[0.0023683212669170094, 0.43449368731810806]","[0.0050676868888760145, 0.0]"
395,"[0.9795268545857392, 1.0]","[0.00211812852140519, 0.9257814534525579]","[0.0022412979013761926, 0.8016155808834907]","[0.0022556678219892187, 0.6761588776008044]","[0.002176488139936959, 0.5555900242716519]","[0.002421710128278951, 0.43449635544091975]","[0.005259852901274412, 0.0]"
400,"[0.9790731935523938, 1.0]","[0.0021673986240942893, 0.9257826018414748]","[0.002293136765475872, 0.8016170289825993]","[0.002307486922445266, 0.6761605499888534]","[0.0022260966106580488, 0.5555918244347978]","[0.0024763607378170834, 0.43449902391321343]","[0.005456326787115851, 0.0]"
405,"[0.9786089474900952, 1.0]","[0.0022178671267000924, 0.9257837503677824]","[0.002346229921126682, 0.8016184772580275]","[0.0023605520622093363, 0.6761622225848831]","[0.0022768893889578016, 0.5555936248274591]","[0.002532304175568303, 0.4345016927336447]","[0.005657209835342723, 0.0]"
410,"[0.9781338582129849, 1.0]","[0.002269564349696694, 0.9257848990309845]","[0.0024006089483985383, 0.8016199257091324]","[0.0024148944324417273, 0.6761638953881276]","[0.0023288959223997647, 0.5555954254487796]","[0.002589572316035213, 0.4345043619008748]","[0.0058626058180432155, 0.0]"
415,"[0.9776476609857505, 1.0]","[0.0023225214083467806, 0.9257860478305884]","[0.002456306251376624, 0.8016213743352755]","[0.002470546033752152, 0.6761655683978243]","[0.002382146417944446, 0.5555972262979068]","[0.0026481978491879055, 0.43450703141357205]","[0.006072621053641715, 0.0]"
420,"[0.9771500843515212, 1.0]","[0.0023767702342180285, 0.9257871967661029]","[0.0025133550803722927, 0.8016228231358201]","[0.002527539697905741, 0.6761672416132136]","[0.0024366718621920123, 0.5555990273739921]","[0.0027082143020382876, 0.43450970127041]","[0.006287364471752589, 0.0]"
425,"[0.9766408499550941, 1.0]","[0.002432343597299546, 0.9257883458370392]","[0.0025717895547506765, 0.8016242721101325]","[0.002585909110128993, 0.6761689150335402]","[0.0024925040421812207, 0.5556008286761912]","[0.002769656060803024, 0.4345123714700687]","[0.006506947679742496, 0.0]"
430,"[0.9761196723613597, 1.0]","[0.0024892751287354893, 0.9257894950429105]","[0.002631644686392818, 0.8016257212575821]","[0.0026456888320325793, 0.6761705886580515]","[0.0025496755667602836, 0.5556026302036632]","[0.002832558393671576, 0.4345150420112345]","[0.006731485031047681, 0.0]"
435,"[0.9755862588687914, 1.0]","[0.0025475993441936105, 0.9257906443832327]","[0.0026929564038103066, 0.8016271705775415]","[0.0027069143251685973, 0.6761722624859985]","[0.0026082198885459267, 0.5556044319555716]","[0.0028969574741963874, 0.43451771289259944]","[0.006961093695293934, 0.0]"
440,"[0.9750403093178635, 1.0]","[0.0026073516678869557, 0.9257917938575231]","[0.0027557615769311637, 0.8016286200693854]","[0.0027696219752402947, 0.6761739365166365]","[0.0026681713264871815, 0.5556062339310832]","[0.0029628904053226714, 0.4345203841128616]","[0.007195893730268311, 0.0]"
445,"[0.9744815158942537, 1.0]","[0.0026685684572674544, 0.9257929434653014]","[0.0028200980425761094, 0.8016300697324914]","[0.002833849116982922, 0.6761756107492225]","[0.0027295650890510927, 0.5556080361293686]","[0.0030303952440758034, 0.4345230556707256]","[0.007436008155793024, 0.0]"
450,"[0.9739095629266834, 1.0]","[0.002731287028410737, 0.9257940932060906]","[0.002886004630645033, 0.8016315195662411]","[0.002899634059734705, 0.6761772851830188]","[0.002792437298048025, 0.5556098385496028]","[0.00309951102692483, 0.4345257275649012]","[0.007681563029553363, 0.0]"
455,"[0.9733241266792477, 1.0]","[0.0027955456821120456, 0.9257952430794142]","[0.0029535211910340173, 0.8016329695700173]","[0.0029670161137177794, 0.6761789598172896]","[0.0028568250131145645, 0.555611641190964]","[0.003170277795841132, 0.43452839979410474]","[0.007932687524932935, 0.0]"
460,"[0.9727248751380777, 1.0]","[0.0028613837307137225, 0.9257963930847987]","[0.0030226886213038247, 0.8016344197432063]","[0.0030360356170492046, 0.6761806346513028]","[0.002922766256872844, 0.5556134440526342]","[0.0032427366250718636, 0.43453107235705785]","[0.008189514010911026, 0.0]"
465,"[0.9721114677921783, 1.0]","[0.002928841525685357, 0.9257975432217725]","[0.003093548895121426, 0.8016358700851975]","[0.003106733963503032, 0.67618230968433]","[0.00299030004078538, 0.5556152471337995]","[0.003316929648648312, 0.43453374525248867]","[0.008452178134078428, 0.0]"
470,"[0.9714835554082755, 1.0]","[0.00299796048597824, 0.9257986934898662]","[0.0031661450914967837, 0.8016373205953823]","[0.003179153631044777, 0.6761839849156457]","[0.0030594663917253052, 0.5556170504336493]","[0.00339290008864992, 0.4345364184791303]","[0.00872081890282962, 0.0]"
475,"[0.9708407797995069, 1.0]","[0.0030687831271765695, 0.9257998438886126]","[0.003240521424837741, 0.8016387712731555]","[0.003253338211160493, 0.6761856603445275]","[0.00313030637928221, 0.5556188539513766]","[0.0034706922842453716, 0.4345390920357225]","[0.008995578773790877, 0.0]"
480,"[0.9701827735877794, 1.0]","[0.003141353091468286, 0.9258009944175462]","[0.003316723275846517, 0.8016402221179141]","[0.0033293324390031138, 0.6761873359702569]","[0.003202862143824678, 0.5556206576861787]","[0.003550351721532644, 0.43454176592101035]","[0.00927660374054552, 0.0]"
485,"[0.9695091599596183, 1.0]","[0.003215715178459309, 0.9258021450762038]","[0.0033947972232820584, 0.8016416731290582]","[0.003407182224379504, 0.6761890117921183]","[0.0032771769253410027, 0.555622461637256]","[0.0036319250642006633, 0.4345444401337444]","[0.009564043424719258, 0.0]"
490,"[0.9688195524153226, 1.0]","[0.003291915376855503, 0.9258032958641247]","[0.0034747910766131725, 0.8016431243059905]","[0.0034869346836023532, 0.6761906878093994]","[0.0033532950930801916, 0.5556242658038127]","[0.003715460185035896, 0.4345471146726815]","[0.009858051169490322, 0.0]"
495,"[0.9681135545112379, 1.0]","[0.003370000897037542, 0.9258044467808495]","[0.003556753909588068, 0.8016445756481159]","[0.0035686381722316407, 0.6761923640213905]","[0.0034312621760163075, 0.5556260701850565]","[0.003801006198297648, 0.4345497895365836]","[0.010158784135590983, 0.0]"
500,"[0.9673907595949525, 1.0]","[0.0034500202045544305, 0.9258055978259214]","[0.003640736094746856, 0.8016460271548426]","[0.003652342318731254, 0.676194040427386]","[0.0035111248941594193, 0.5556278747801988]","[0.003888613492986906, 0.4345524647242186]","[0.010466403399868828, 0.0]"
505,"[0.966650750533217, 1.0]","[0.003532023054562412, 0.9258067489988853]","[0.0037267893389040657, 0.8016474788255809]","[0.0037380980590670703, 0.6761957170266829]","[0.0035929311907375023, 0.5556296795884544]","[0.003978333767033927, 0.43455514023435965]","[0.010781074056478194, 0.0]"
510,"[0.9658930994323818, 1.0]","[0.0036160605272365595, 0.925807900299288]","[0.0038149667196293213, 0.8016489306597443]","[0.003825957672273521, 0.6761973938185817]","[0.0036767302652741056, 0.5556314846090419]","[0.0040702200624307796, 0.43455781606578575]","[0.011102965320774066, 0.0]"
515,"[0.9651173673511393, 1.0]","[0.0037021850641834036, 0.9258090517266789]","[0.003905322722754953, 0.8016503826567486]","[0.003915974817016529, 0.6761990708023856]","[0.0037625726075874973, 0.555633289841183]","[0.004164326801335569, 0.43456049221728105]","[0.01143225063598289, 0.0]"
520,"[0.9643231040053544, 1.0]","[0.0037904505058835164, 0.9258102032806088]","[0.0039979132809402525, 0.8016518348160122]","[0.004008204569181508, 0.6762007479774013]","[0.003850510032737585, 0.5556350952841033]","[0.004260709823176102, 0.4345631686876358]","[0.01176910778272674, 0.0]"
525,"[0.9635098474647583, 1.0]","[0.003880912130194105, 0.9258113549606307]","[0.004092795813323047, 0.8016532871369558]","[0.004102703460515883, 0.6762024253429383]","[0.0039405957169478395, 0.5556369009370318]","[0.004359426422781382, 0.43456584547564503]","[0.01211371899147954, 0.0]"
530,"[0.9626771238412746, 1.0]","[0.003973626691942392, 0.9258125067662998]","[0.004190029266289908, 0.8016547396190035]","[0.0041995295183566836, 0.6762041028983092]","[0.004032884234530168, 0.5556387067992008]","[0.004460535389570162, 0.43456852258010975]","[0.012466271058036249, 0.0]"
535,"[0.9618244469687403, 1.0]","[0.004068652463641506, 0.9258136586971726]","[0.004289674155397595, 0.8016561922615807]","[0.004298742306474352, 0.67620578064283]","[0.004127431595841468, 0.5556405128698462]","[0.004564097047826774, 0.4345711999998359]","[0.012826955462078165, 0.0]"
540,"[0.9609513180737778, 1.0]","[0.004166049277361573, 0.9258148107528087]","[0.004391792608479047, 0.8016576450641166]","[0.004400402967065101, 0.6762074585758197]","[0.00422429528630154, 0.5556423191482072]","[0.004670173298095232, 0.434573877733635]","[0.01319596848891992, 0.0]"
545,"[0.9600572254375648, 1.0]","[0.004265878567789713, 0.9258159629327685]","[0.004496448409968266, 0.8016590980260423]","[0.004504574263924965, 0.6762091366965998]","[0.00432353430650285, 0.5556441256335265]","[0.004778827659723405, 0.434576555780324]","[0.013573511354526217, 0.0]"
550,"[0.9591416440482448, 1.0]","[0.004368203416513595, 0.9258171152366148]","[0.0046037070464796095, 0.8016605511467911]","[0.004611320626839703, 0.6762108150044951]","[0.004425209213443534, 0.55564593232505]","[0.004890125314590321, 0.434579234138725]","[0.01395979033388863, 0.0]"
555,"[0.9582040352437105, 1.0]","[0.004473088597564193, 0.9258182676639124]","[0.00471363575367787, 0.8016620044257995]","[0.004720708197225758, 0.6762124934988338]","[0.0045293821629159795, 0.5556477392220274]","[0.005004133152050222, 0.4345819128076654]","[0.014355016892855734, 0.0]"
