Day Number,L0,L1,L2,L3,L4,L5,L6
1320,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0.07374280530209228, 0.5179893856309657]","[0.22494960705579978, 0.43499479991326173]","[0.6838073377473237, 0.0]"
1325,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0.04981894063272534, 0.5109877508451689]","[0.23103874246814315, 0.43499751507716217]","[0.7016420670043473, 0.0]"
1330,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0.02524411122738104, 0.5041692006]","[0.23729838483378796, 0.4350002304185902]","[0.7199572540440468, 0.0]"
1335,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.2437334579649538, 0.43500294593692634]","[0.7387662921402619, 0.0]"
1340,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.22441679041881354, 0.42852805181860903]","[0.7580829596864022, 0.0]"
1345,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.20457831851577488, 0.42222186963195235]","[0.7779214315894409, 0.0]"
1350,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.18420345909519836, 0.4160800678675952]","[0.7982962910100174, 0.0]"
1355,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.1632772086457966, 0.41009842674806546]","[0.8192225414594192, 0.0]"
1360,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.14178413084064959, 0.404272835305431]","[0.8407156192645662, 0.0]"
1365,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.11970834369274996, 0.3985992885915583]","[0.8627914064124658, 0.0]"
1370,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.09703350631923535, 0.3930738848855834]","[0.8854662437859804, 0.0]"
1375,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.07374280530209228, 0.3876928230627503]","[0.9087569448031235, 0.0]"
1380,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.04981894063272534, 0.3824523999225692]","[0.9326808094724904, 0.0]"
1385,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.02524411122738104, 0.3773490077]","[0.9572556388778347, 0.0]"
1390,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1395,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1400,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1405,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1410,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1415,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1420,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1425,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1430,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1435,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1440,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1445,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1450,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1455,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1460,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
